subject,predicate,dobject
aamu_library,has_parent,aamu
afit_library,has_parent,afit
aic_library,has_parent,aic
albany_library,has_parent,albany
american_library,has_parent,american
anahuac_library,has_parent,anahuac
apu_library,has_parent,apu
arizona_library,has_parent,arizona
astate_library,has_parent,astate
asu_library,has_parent,asu
asurams_library,has_parent,asurams
auburn_library,has_parent,auburn
auraria_library,has_parent,auraria
baylor_library,has_parent,baylor
bc_library,has_parent,bc
berkeley_library,has_parent,berkeley
bgsu_library,has_parent,bgsu
binghamton_library,has_parent,binghamton
boisestate_library,has_parent,boisestate
bowiestate_library,has_parent,bowiestate
brandeis_library,has_parent,brandeis
brown_library,has_parent,brown
bsu_library,has_parent,bsu
bu_library,has_parent,bu
buap_library,has_parent,buap
buffalo_library,has_parent,buffalo
byu_library,has_parent,byu
caltech_library,has_parent,caltech
camden_library,has_parent,camden
case_library,has_parent,case
catholic_library,has_parent,catholic
chapman_library,has_parent,chapman
cgu,has_parent,claremont
claremont_library,has_parent,claremont
clarkson_library,has_parent,clarkson
clarku_library,has_parent,clarku
clemson_library,has_parent,clemson
cmich_library,has_parent,cmich
cmu_library,has_parent,cmu
colorado_library,has_parent,colorado
colostate_library,has_parent,colostate
colpos_library,has_parent,colpos
colum_library,has_parent,colum
mocp,has_parent,colum
columbia_library,has_parent,columbia
columbia_tc,has_parent,columbia
columbia_tc_library,has_parent,columbia_tc
cornell_library,has_parent,cornell
csuohio_library,has_parent,csuohio
cuny_ccny,has_parent,cuny
cuny_gc,has_parent,cuny
cuny_library,has_parent,cuny
dartmouth_library,has_parent,dartmouth
depaul_library,has_parent,depaul
desu_library,has_parent,desu
dillard_library,has_parent,dillard
drexel_library,has_parent,drexel
du_library,has_parent,du
duke_library,has_parent,duke
duq_library,has_parent,duq
ecu_library,has_parent,ecu
emich_library,has_parent,emich
emory_library,has_parent,emory
esf_library,has_parent,esf
etsu_library,has_parent,etsu
famu_library,has_parent,famu
fau_library,has_parent,fau
fit_library,has_parent,fit
fiu_library,has_parent,fiu
fordham_library,has_parent,fordham
fsu_library,has_parent,fsu
gallaudet_library,has_parent,gallaudet
gatech_library,has_parent,gatech
georgetown_library,has_parent,georgetown
georgiasouthern_library,has_parent,georgiasouthern
gmu_library,has_parent,gmu
gram_library,has_parent,gram
gsu_library,has_parent,gsu
gwu_library,has_parent,gwu
hamptonu_library,has_parent,hamptonu
harvard_library,has_parent,harvard
hawaii_library,has_parent,hawaii
auc_library,has_parent,hbculibraries
howard_library,has_parent,howard
iastate_library,has_parent,iastate
iit_library,has_parent,iit
illinois_library,has_parent,illinois
illinoisstate_library,has_parent,illinoisstate
indiana_library,has_parent,indiana
ipn_library,has_parent,ipn
isu_library,has_parent,isu
iupui_library,has_parent,iupui
jefferson_library,has_parent,jefferson
jhu_library,has_parent,jhu
jsums_library,has_parent,jsums
k-state_library,has_parent,k-state
kennesaw_library,has_parent,kennesaw
kent_library,has_parent,kent
