_id,year,inam,type,region,exch,branch,foot,title,vols,volcount,ebooks,totexp,explm,exponetime,expongoing,expcollsup,totsal,salprf,salnprf,salstud,opexp,fringedol,fringepct,expbibue,totstfx,prfstf,nprfstf,studast,totstf,grppres,sample1,presptcp,sample2,reftrans,sample3,initcirc,item,regsearches,fedsearches,illtot,ilbtot,gatecount,phdawd,phdfld,fac,totstu,totpt,gradstu,gradpt
Library number (orig instno),Year,Library name,Type,Region,Canadian exchange rate,,,Titles held June 30 - Now includes all formats,Volumes held June 30,Basis of volume count is Physical or Bibliographic (Y/N),Electronic books,Total Library Expenditures,Total Library Materials Expenditures,One-time resource purchases,"Ongoing resource purchases (e.g. subscriptions, annual license fees)",Collection support,Total Salaries and Wages (Excluding fringe benefits),Professional staff,Support staff,Student assistants,Other operating expenditures,Fringe Benefits,Official designated percent,Consortia/Networks/Bibliographic Utilities Expenditures from External Sources,Total Staff FTE,"Professional staff, FTE","Support staff, FTE","Student assistants, FTE",Total staff,Number of library presentations to groups,Is the library presentations figure based on sampling?,Number of total participants in group presentations reported in line 14,Is the total participants figure based on sampling?,Number of reference transactions,Is the reference transactions figure based on sampling?,Number of initial circulations,Number of successful full-text article requests (journals),Number of regular searches (databases),Number of federated searches (databases),Total number of filled requests provided to other libraries,Total number of filled requests received from other libraries or providers,Annual gate count,Number of Doctor's Degrees awarded in FY2014-15,Number of fields in which Doctor's Degrees can be awarded,Number of full-time instructional faculty in FY2014-15,"Full-time students, undergraduate and graduate","Part-time students, undergraduate and graduate",Full-time graduate students,Part-time graduate students
9890,2018,LIBRARY OF CONGRESS,N,5,1,1,1,158327481,39559882,1,31226,470667000,22827564,12748844,9951156,127564,224839436,,,,223000000,67451831,30,,1939,,,,,8979,0,94864,0,358679,0,958365,688974,30666751,114000000,20264,,1900000,,,,,,,
3100,2018,HARVARD,P,1,1,0,1,15464802,21273455,0,2047212,115873080,49064256,15619498,21275592,12169166,56575773,38005863,15103402,3466508,10233051,20066014,31,1966206,738,446,292,,738,2325,0,36362,0,110826,0,510266,10282160,13816697,90340,43700,73605,,1547,79,2095,20924,10215,13810,7391
1100,2018,"CALIFORNIA, LOS ANGELES",S,9,1,0,1,15436812,13047310,1,2467304,59966729,19293476,6944384,10574068,1775024,30922638,16097523,11399134,3425981,9750615,11933319,,1111166,511,174,210,127,384,1898,0,27085,0,24449,0,588405,18253511,27373649,262908,28012,27558,3278125,771,81,2281,43873,1555,13415,1011
9700,2018,YALE,P,1,1,0,1,11771933,14431600,0,1760911,96957697,42897682,26169100,15616256,1112326,41116568,23702693,16212840,1201035,12943447,17404478,31.3,,592,251,268,73,519,1885,1,23570,1,20837,1,359577,0,0,0,53655,60947,0,748,70,2405,12342,96,6608,93
2000,2018,COLUMBIA,P,2,1,0,1,10213096,14374971,1,2776902,70837125,33436481,9471655,19899231,4065595,31813984,23147115,6940902,1725967,5586660,9661005,29.75,,518,288,169,61,457,1702,1,21998,1,92737,1,257682,10490418,48960000,622618,42514,54473,4613692,1555,234,2418,30517,10206,20107,8784
5100,2018,MICHIGAN,S,3,1,0,1,9877838,15669216,1,3689586,71249875,27934438,8171244,18090563,1672631,34503244,16799018,16005710,1698516,8812193,10666147,31,9384,647,221,343,83,564,1618,0,39236,0,52478,0,524590,11491908,33000633,584701,71024,44222,4366803,1556,126,4881,43517,2485,14815,1366
900,2018,"CALIFORNIA, BERKELEY",S,9,1,0,1,9439598,12955237,0,1502169,58789073,22217728,8233069,13525794,458865,31470028,22167866,5710241,3591921,5101317,12722636,40,1006206,506,272,113,121,385,1153,0,23962,0,30134,0,278440,6636922,32766933,,24335,11712,3765955,870,92,1608,38948,2962,9597,1739
8600,2018,TORONTO,C,10,1.27,1,1,9394709,15092789,1,2476715,75322138.58,31074256.69,13721234.65,17063195.28,289826.77,35514785.83,18918168.5,13071004.72,3525612.6,8733096.06,8274220.47,24,,683,272,269,142,541,1884,0,59807,0,191936,0,519869,13470176,,,24350,8214,7523186,967,96,2636,78785,7968,17055,1496
3500,2018,"ILLINOIS, URBANA",S,3,1,0,1,9281642,15033508,0,1426053,52646302,19831535,4980071,14197569,653895,22239739,13043453,7168916,2027370,10575028,7352711,38.06,,422,184,158,80,342,1828,0,31891,0,62868,1,316273,7947179,22027261,,70058,40918,4956313,1092,92,2283,42850,5366,10237,4024
