id,label,label_short,description,url
aau,American Association of Universities,AAU,The Association of American Universities (AAU) is an organization of American research universities devoted to maintaining a strong system of academic research and education.,https://www.aau.edu/
acc,Atlantic Coast Conference,ACC,"The Atlantic Coast Conference (ACC) is a collegiate athletic conference located in the eastern United States. Headquartered in Greensboro, North Carolina, the ACC's fifteen member universities compete in the National Collegiate Athletic Association (NCAA)'s Division I. ",https://theacc.com/
arl,Association of Research Libraries,ARL,"The Association of Research Libraries (ARL) is a nonprofit organization of 127 research libraries at comprehensive, research institutions in Canada and the United States.",https://www.arl.org/
acrl,Association of College and Research Libraries,ACRL,"The Association of College and Research Libraries (ACRL), a division of the American Library Association, is a professional association of academic librarians and other interested individuals.",https://www.acrl.org/
alcts,Association for Library Collections and Technical Services,ALCTS,"The Association for Library Collections and Technical Services (ALCTS) was a division of the American Library Association (ALA) dedicated to the areas of technical services (acquisitions, cataloging and classification, and continuing resources), collection management and development, and preservation and reformatting. ",https://www.ala.org/alcts/
big_ten,Big Ten Conference,Big Ten,"The Big Ten Conference (stylized B1G, formerly the Western Conference and the Big Nine Conference) is the oldest Division I collegiate athletic conference in the United States. ",https://bigten.org/
carli,Consortium of Academic and Research Libraries in Illinois,CARLI,The Consortium of Academic and Research Libraries in Illinois (CARLI) is an academic consortium of public and private university and research libraries in the state of Illinois. ,https://www.carli.illinois.edu/
gwla,Greater Western Library Alliance,GWLA,The Greater Western Library Alliance (GWLA) is a library consortium of 39 research libraries located across the United States. ,
hbcu,Historically Black colleges and universities,HBCUs,Historically black colleges and universities (HBCUs) are institutions of higher education in the United States that were established before the Civil Rights Act of 1964 with the intention of primarily serving African Americans.,https://en.wikipedia.org/wiki/Historically_black_colleges_and_universities
irla,Independent Research Libraries Association,IRLA,"The Independent Research Libraries Association (IRLA) was established in 1972 in order to address the future of independent, privately-supported research libraries.",https://irla.lindahall.org/
ivy_league,Ivy League,Ivy League,The Ivy League is an American collegiate athletic conference comprising eight private research universities in the Northeastern United States.,https://ivyleague.com/
pac_12,Pac-12 Conferences,Pac-12,"The Pac-12 Conference is a collegiate athletic conference, that operates in the Western United States, participating in 24 sports at the NCAA Division I level.",http://pac-12.com/
r1,R1 university,R1,"R1 universities are doctoral-granting universities classified as ""Very High Research Activity"" according to the Carnegie Classification of Institutions of Higher Education, a framework for classifying colleges and universities in the United States. ",https://en.wikipedia.org/wiki/List_of_research_universities_in_the_United_States#Universities_classified_as_%22R1:_Doctoral_Universities_%E2%80%93_Very_high_research_activity%22
r2,R2 university,R2,"R2 universities are doctoral-granting universities classified as ""High Research Activity"" according to the Carnegie Classification of Institutions of Higher Education, a framework for classifying colleges and universities in the United States. ",https://en.wikipedia.org/wiki/List_of_research_universities_in_the_United_States#Universities_classified_as_Universities_classified_as_%22R2:_Doctoral_Universities_%E2%80%93_High_research_activity%22
sec,Southeastern Conference,SEC,The Southeastern Conference (SEC) is an American college athletic conference whose member institutions are located primarily in the South Central and Southeastern United States.,http://www.secsports.com/
sparc,Scholarly Publishing and Academic Resources Coalition,SPARC,The Scholarly Publishing and Academic Resources Coalition (SPARC) is an international alliance of academic and research libraries developed by the Association of Research Libraries in 1998 which promotes open access to scholarship.,https://sparcopen.org/
uic_peer,UIC peer institutions,UIC peer,"Peer institutions of the University of Illinois at Chicago, with selected additions by the author.",https://www.pb.uillinois.edu/reports-public/bot-performance-metrics/peer-groups.cfm
